name,category,style,price
Zara Trench Coat,coat,sporty,52.43
Adidas Raincoat,coat,sporty,66.47
Zara Chelsea Boots,boots,formal,161.59
Uniqlo High-top Sneakers,sneakers,sporty,100.61
Adidas Canvas Shoes,shoes,formal,54.36
Adidas Derby Shoes,shoes,casual,169.47
Nike Wool Coat,coat,casual,47.35
Zara Chelsea Boots,boots,sporty,153.88
Uniqlo Oxford Shoes,shoes,formal,199.96
Uniqlo Derby Shoes,shoes,formal,171.49
Adidas Track Jacket,jacket,sporty,131.15
Uniqlo Chelsea Boots,boots,sporty,124.57
Nike Training Sneakers,sneakers,casual,48.41
Nike Trench Coat,coat,casual,124.94
Nike Hiking Boots,boots,sporty,147.23
Zara Raincoat,coat,formal,142.25
Adidas Leather Shoes,shoes,formal,197.96
Adidas Canvas Shoes,shoes,formal,138.21
Uniqlo Leather Shoes,shoes,sporty,123.77
Zara Trench Coat,coat,sporty,189.62
H&M Bomber Jacket,jacket,casual,158.94
Uniqlo Windbreaker,jacket,formal,179.32
Uniqlo Hiking Boots,boots,formal,164.52
Nike Puffer Jacket,jacket,casual,167.51
Adidas Windbreaker,jacket,casual,189.92
Adidas Ankle Boots,boots,casual,160.58
Adidas Training Sneakers,sneakers,casual,130.07
Zara Canvas Shoes,shoes,sporty,101.77
Uniqlo Training Sneakers,sneakers,formal,157.09
Nike Training Sneakers,sneakers,casual,104.42
Adidas Leather Shoes,shoes,sporty,79.84
Uniqlo High-top Sneakers,sneakers,casual,74.11
H&M Canvas Shoes,shoes,casual,40.98
Nike Derby Shoes,shoes,sporty,44.89
H&M Running Sneakers,sneakers,sporty,136.63
H&M Combat Boots,boots,casual,125.58
H&M High-top Sneakers,sneakers,sporty,130.0
Zara Running Sneakers,sneakers,casual,41.88
Adidas Puffer Jacket,jacket,casual,159.87
H&M High-top Sneakers,sneakers,formal,125.36
H&M Derby Shoes,shoes,casual,126.79
Nike Derby Shoes,shoes,formal,168.35
Zara Training Sneakers,sneakers,casual,142.38
H&M Raincoat,coat,sporty,98.06
Adidas Running Sneakers,sneakers,casual,192.92
Zara Windbreaker,jacket,sporty,79.61
Zara Hiking Boots,boots,casual,58.0
Adidas Running Sneakers,sneakers,casual,110.27
Adidas Hiking Boots,boots,formal,173.54
Nike Peacoat,coat,sporty,97.67
Zara Chelsea Boots,boots,sporty,156.96
Nike Chelsea Boots,boots,formal,176.32
Zara Windbreaker,jacket,formal,113.5
Adidas Puffer Jacket,jacket,sporty,52.52
Zara Hiking Boots,boots,sporty,174.24
Nike Wool Coat,coat,casual,90.55
Nike Hiking Boots,boots,sporty,156.63
Uniqlo Combat Boots,boots,formal,122.93
Zara Chelsea Boots,boots,sporty,180.32
Nike Oxford Shoes,shoes,casual,173.8
Nike Chelsea Boots,boots,sporty,92.38
Zara Hiking Boots,boots,casual,175.17
Zara Raincoat,coat,formal,92.08
H&M Puffer Jacket,jacket,formal,115.52
Adidas Peacoat,coat,formal,69.65
Zara Training Sneakers,sneakers,casual,155.48
Adidas Peacoat,coat,casual,129.43
H&M Chelsea Boots,boots,sporty,87.47
Adidas Running Sneakers,sneakers,casual,152.4
Adidas Bomber Jacket,jacket,formal,162.85
H&M Wool Coat,coat,sporty,199.1
Uniqlo Raincoat,coat,sporty,158.93
Adidas Training Sneakers,sneakers,sporty,151.78
Uniqlo High-top Sneakers,sneakers,formal,46.72
Uniqlo Training Sneakers,sneakers,casual,142.2
Nike Canvas Shoes,shoes,casual,102.52
H&M High-top Sneakers,sneakers,sporty,192.81
Adidas Leather Shoes,shoes,casual,117.18
Zara Trench Coat,coat,sporty,71.68
Uniqlo Hiking Boots,boots,sporty,176.78
Zara Ankle Boots,boots,formal,45.44
Uniqlo Hiking Boots,boots,formal,188.44
Adidas Hiking Boots,boots,sporty,103.19
Nike Windbreaker,jacket,sporty,159.96
Nike High-top Sneakers,sneakers,casual,40.94
Adidas Wool Coat,coat,formal,53.47
Uniqlo Track Jacket,jacket,casual,183.26
Nike Windbreaker,jacket,casual,192.19
Zara Bomber Jacket,jacket,sporty,107.71
Uniqlo Windbreaker,jacket,casual,87.62
Adidas Running Sneakers,sneakers,formal,57.53
Nike Bomber Jacket,jacket,sporty,113.84
Nike Windbreaker,jacket,casual,143.06
Zara Ankle Boots,boots,sporty,47.17
Nike Wool Coat,coat,sporty,198.79
Adidas Puffer Jacket,jacket,sporty,99.88
Adidas Wool Coat,coat,casual,98.18
Zara Derby Shoes,shoes,sporty,78.43
Nike Leather Shoes,shoes,formal,172.49
Uniqlo Leather Shoes,shoes,casual,190.99
Zara Midi Dress,dress,vintage,142.0
H&M Floral Tea Dress,dress,vintage,129.0
Uniqlo Pleated Dress,dress,vintage,155.5
Mango A-Line Dress,dress,vintage,168.0
Zara Streetwear Dress,dress,streetwear,158.08
H&M Vintage Coat,coat,vintage,86.93
New Balance Derby Shoes,shoes,streetwear,103.95
New Balance Casual Handbag,handbag,casual,286.72
Uniqlo Casual Jacket,jacket,casual,168.54
Mango Casual Skirt,skirt,casual,82.05
Mango Chic Coat,coat,chic,171.25
Adidas Chic Skirt,skirt,chic,47.51
Mango Runner,sneakers,minimalist,190.1
Levi's Vintage Coat,coat,vintage,156.77
Uniqlo Casual Dress,dress,casual,98.78
Mango Preppy Jeans,jeans,preppy,147.17
Mango Derby Shoes,shoes,grunge,155.73
Zara Casual Jeans,jeans,casual,71.36
Zara Runner,sneakers,casual,63.59
H&M Sporty Jeans,jeans,sporty,124.47
New Balance Runner,sneakers,minimalist,209.49
Levi's Runner,sneakers,casual,159.99
Zara Vintage Shirt,shirt,vintage,27.84
Adidas Streetwear Handbag,handbag,streetwear,163.46
Puma Preppy Skirt,skirt,preppy,76.2
Adidas Casual Skirt,skirt,casual,82.67
New Balance Retro Skirt,skirt,retro,55.11
H&M Runner,sneakers,grunge,204.44
Mango Minimalist Handbag,handbag,minimalist,88.49
Mango Formal Coat,coat,formal,160.1
Levi's Chic Jeans,jeans,chic,79.0
New Balance Minimalist Coat,coat,minimalist,197.6
Puma Retro Handbag,handbag,retro,241.23
H&M Runner,sneakers,elegant,207.0
H&M Vintage Shirt,shirt,vintage,78.48
Zara Runner,sneakers,grunge,184.27
Mango Chic Jeans,jeans,chic,45.19
Levi's Elegant Skirt,skirt,elegant,79.72
H&M Retro Dress,dress,retro,42.79
Adidas Grunge Shirt,shirt,grunge,96.55
Gap Elegant Coat,coat,elegant,236.5
Levi's Hiking Boots,boots,elegant,238.19
Zara Sporty Skirt,skirt,sporty,112.27
Levi's Elegant Jeans,jeans,elegant,85.29
New Balance Grunge Handbag,handbag,grunge,57.73
Mango Runner,sneakers,streetwear,152.91
Nike Minimalist Coat,coat,minimalist,250.99
Levi's Derby Shoes,shoes,preppy,99.18
Gap Elegant Dress,dress,elegant,170.27
Puma Chic Skirt,skirt,chic,39.46
Nike Runner,sneakers,streetwear,109.73
Gap Minimalist Shirt,shirt,minimalist,63.86
New Balance Runner,sneakers,grunge,210.33
Adidas Grunge Handbag,handbag,grunge,160.66
Nike Runner,sneakers,sporty,202.03
Nike Preppy Handbag,handbag,preppy,167.76
Puma Runner,sneakers,minimalist,62.41
Uniqlo Chic Dress,dress,chic,91.81
Gap Derby Shoes,shoes,formal,200.51
Uniqlo Streetwear Jacket,jacket,streetwear,180.56
H&M Elegant Jacket,jacket,elegant,75.36
New Balance Elegant Skirt,skirt,elegant,27.6
Nike Sporty Skirt,skirt,sporty,100.9
Nike Derby Shoes,shoes,casual,112.82
Uniqlo Runner,sneakers,preppy,173.12
New Balance Retro Dress,dress,retro,93.09
Adidas Retro Coat,coat,retro,240.0
Gap Chic Jacket,jacket,chic,198.32
Uniqlo Minimalist Coat,coat,minimalist,224.66
H&M Minimalist Coat,coat,minimalist,108.21
Mango Retro Jacket,jacket,retro,160.9
Nike Chic Shirt,shirt,chic,113.24
New Balance Formal Jeans,jeans,formal,140.18
Nike Hiking Boots,boots,formal,84.64
Levi's Vintage Handbag,handbag,vintage,78.81
Gap Retro Dress,dress,retro,186.5
Gap Elegant Jacket,jacket,elegant,91.77
Adidas Formal Skirt,skirt,formal,25.3
Adidas Derby Shoes,shoes,sporty,153.91
Zara Hiking Boots,boots,preppy,183.84
Puma Vintage Shirt,shirt,vintage,78.39
Mango Derby Shoes,shoes,sporty,161.68
Zara Formal Jacket,jacket,formal,200.01
Gap Derby Shoes,shoes,vintage,116.68
Mango Retro Skirt,skirt,retro,53.06
H&M Grunge Coat,coat,grunge,155.53
Gap Formal Jeans,jeans,formal,117.8
Adidas Retro Dress,dress,retro,212.14
Adidas Preppy Jeans,jeans,preppy,123.1
Gap Derby Shoes,shoes,streetwear,120.04
H&M Hiking Boots,boots,grunge,108.23
H&M Casual Shirt,shirt,casual,76.23
Mango Vintage Jacket,jacket,vintage,110.82
Nike Retro Jacket,jacket,retro,176.51
Mango Hiking Boots,boots,grunge,140.57
Adidas Runner,sneakers,streetwear,102.69
Puma Casual Skirt,skirt,casual,115.28
Mango Sporty Jeans,jeans,sporty,42.93
Nike Formal Skirt,skirt,formal,59.4
H&M Sporty Dress,dress,sporty,111.19
Mango Formal Shirt,shirt,formal,75.3
H&M Hiking Boots,boots,casual,212.19
New Balance Sporty Coat,coat,sporty,151.63
Gap Hiking Boots,boots,elegant,110.96
Nike Vintage Handbag,handbag,vintage,237.41
Levi's Elegant Shirt,shirt,elegant,101.83
Uniqlo Chic Coat,coat,chic,93.3
Levi's Hiking Boots,boots,casual,193.68
New Balance Runner,sneakers,elegant,61.72
Puma Formal Shirt,shirt,formal,103.15
Uniqlo Preppy Jeans,jeans,preppy,99.04
Nike Grunge Jacket,jacket,grunge,133.42
Adidas Vintage Jacket,jacket,vintage,152.19
Levi's Preppy Jacket,jacket,preppy,74.89
Levi's Grunge Skirt,skirt,grunge,70.92
New Balance Formal Skirt,skirt,formal,61.33
Adidas Derby Shoes,shoes,formal,148.24
Nike Formal Shirt,shirt,formal,64.71
Gap Runner,sneakers,chic,157.49
Mango Vintage Dress,dress,vintage,215.65
Adidas Elegant Skirt,skirt,elegant,44.73
Gap Runner,sneakers,formal,59.68
Levi's Runner,sneakers,retro,136.6
Puma Casual Handbag,handbag,casual,236.04
Uniqlo Grunge Shirt,shirt,grunge,94.05
Zara Hiking Boots,boots,minimalist,184.02
Puma Casual Shirt,shirt,casual,46.81
H&M Retro Skirt,skirt,retro,76.83
Gap Sporty Skirt,skirt,sporty,106.57
Adidas Preppy Coat,coat,preppy,205.87
Levi's Casual Dress,dress,casual,69.18
Adidas Formal Dress,dress,formal,118.77
Adidas Hiking Boots,boots,preppy,149.13
New Balance Derby Shoes,shoes,elegant,177.33
New Balance Preppy Shirt,shirt,preppy,20.93
Uniqlo Minimalist Skirt,skirt,minimalist,83.43
Mango Runner,sneakers,vintage,74.04
Uniqlo Vintage Skirt,skirt,vintage,44.42
Puma Sporty Jeans,jeans,sporty,110.56
Zara Sporty Dress,dress,sporty,168.71
Gap Hiking Boots,boots,minimalist,134.93
Zara Derby Shoes,shoes,chic,218.86
Nike Formal Jacket,jacket,formal,91.88
Adidas Retro Skirt,skirt,retro,56.45
Nike Runner,sneakers,retro,149.03
Adidas Vintage Jeans,jeans,vintage,104.89
H&M Vintage Jeans,jeans,vintage,36.77
H&M Grunge Jacket,jacket,grunge,191.32
Levi's Runner,sneakers,grunge,109.27
Levi's Sporty Jacket,jacket,sporty,146.56
H&M Streetwear Coat,coat,streetwear,107.44
Adidas Sporty Dress,dress,sporty,145.72
Levi's Streetwear Jeans,jeans,streetwear,131.5
Puma Runner,sneakers,grunge,214.17
Puma Derby Shoes,shoes,formal,78.58
H&M Chic Handbag,handbag,chic,280.63
Puma Elegant Dress,dress,elegant,69.67
Nike Chic Jeans,jeans,chic,146.99
Nike Sporty Dress,dress,sporty,185.3
Levi's Derby Shoes,shoes,minimalist,101.43
Adidas Sporty Handbag,handbag,sporty,133.14
New Balance Sporty Jeans,jeans,sporty,44.77
Puma Elegant Handbag,handbag,elegant,285.01
Uniqlo Preppy Dress,dress,preppy,140.89
Gap Vintage Jacket,jacket,vintage,79.24
Mango Derby Shoes,shoes,vintage,108.82
Levi's Streetwear Handbag,handbag,streetwear,178.94
H&M Minimalist Shirt,shirt,minimalist,37.9
Nike Retro Handbag,handbag,retro,124.27
H&M Hiking Boots,boots,streetwear,115.87
Adidas Grunge Jeans,jeans,grunge,97.85
Nike Runner,sneakers,grunge,50.87
Uniqlo Derby Shoes,shoes,preppy,57.47
Uniqlo Vintage Jacket,jacket,vintage,69.16
Puma Hiking Boots,boots,retro,239.5
Gap Derby Shoes,shoes,elegant,130.49
New Balance Casual Coat,coat,casual,146.52
Zara Preppy Coat,coat,preppy,230.13
Adidas Hiking Boots,boots,retro,174.75
Uniqlo Vintage Handbag,handbag,vintage,193.85
Nike Vintage Jeans,jeans,vintage,141.03
Mango Streetwear Dress,dress,streetwear,169.98
Levi's Vintage Shirt,shirt,vintage,86.96
Uniqlo Elegant Coat,coat,elegant,159.81
Uniqlo Runner,sneakers,formal,165.53
Levi's Vintage Dress,dress,vintage,174.43
Adidas Retro Jeans,jeans,retro,106.02
Adidas Runner,sneakers,retro,60.43
Adidas Chic Dress,dress,chic,73.42
Puma Hiking Boots,boots,elegant,201.97
H&M Retro Jeans,jeans,retro,45.16
H&M Vintage Jacket,jacket,vintage,162.77
H&M Grunge Dress,dress,grunge,49.6
Uniqlo Grunge Dress,dress,grunge,65.28
Uniqlo Elegant Handbag,handbag,elegant,294.3
Uniqlo Derby Shoes,shoes,grunge,65.71
New Balance Derby Shoes,shoes,vintage,166.8
Zara Hiking Boots,boots,streetwear,129.42
New Balance Runner,sneakers,formal,218.91
Levi's Vintage Jeans,jeans,vintage,136.36
Uniqlo Minimalist Handbag,handbag,minimalist,217.4
New Balance Grunge Skirt,skirt,grunge,33.62
H&M Formal Jacket,jacket,formal,134.83
Nike Sporty Coat,coat,sporty,198.5
Zara Derby Shoes,shoes,elegant,129.43
Mango Streetwear Jeans,jeans,streetwear,82.24
Puma Hiking Boots,boots,minimalist,186.23
Mango Hiking Boots,boots,elegant,135.85
Mango Vintage Jeans,jeans,vintage,147.87
Zara Grunge Jeans,jeans,grunge,55.34
New Balance Casual Dress,dress,casual,119.02
Puma Derby Shoes,shoes,streetwear,147.91
Levi's Retro Shirt,shirt,retro,103.41
Uniqlo Streetwear Jeans,jeans,streetwear,77.23
Levi's Casual Jacket,jacket,casual,215.32
H&M Chic Skirt,skirt,chic,64.99
Zara Elegant Skirt,skirt,elegant,112.62
Puma Formal Skirt,skirt,formal,115.39
Nike Grunge Coat,coat,grunge,222.72
Zara Retro Jeans,jeans,retro,84.5
Gap Hiking Boots,boots,vintage,86.55
Zara Grunge Jacket,jacket,grunge,72.86
H&M Preppy Handbag,handbag,preppy,49.8
H&M Vintage Dress,dress,vintage,139.96
Mango Hiking Boots,boots,retro,88.68
H&M Derby Shoes,shoes,vintage,113.97
Gap Chic Handbag,handbag,chic,131.58
Mango Preppy Dress,dress,preppy,179.19
Uniqlo Streetwear Shirt,shirt,streetwear,59.39
Puma Hiking Boots,boots,formal,219.41
Zara Minimalist Handbag,handbag,minimalist,124.63
New Balance Hiking Boots,boots,streetwear,167.85
Gap Casual Handbag,handbag,casual,83.09
Levi's Minimalist Coat,coat,minimalist,149.13
Zara Elegant Shirt,shirt,elegant,48.5
Levi's Derby Shoes,shoes,casual,94.37
Levi's Elegant Dress,dress,elegant,111.68
New Balance Retro Coat,coat,retro,225.12
Mango Vintage Coat,coat,vintage,235.24
Nike Minimalist Dress,dress,minimalist,63.17
New Balance Vintage Shirt,shirt,vintage,65.47
Gap Preppy Shirt,shirt,preppy,97.14
Gap Sporty Jeans,jeans,sporty,156.47
Adidas Preppy Dress,dress,preppy,135.71
Levi's Elegant Coat,coat,elegant,81.25
Puma Formal Jacket,jacket,formal,142.38
Puma Derby Shoes,shoes,preppy,58.25
Uniqlo Hiking Boots,boots,chic,216.22
Gap Casual Jeans,jeans,casual,146.15
Mango Preppy Jacket,jacket,preppy,113.99
Adidas Casual Jeans,jeans,casual,101.41
Levi's Elegant Handbag,handbag,elegant,48.11
Adidas Elegant Dress,dress,elegant,153.93
Levi's Minimalist Jacket,jacket,minimalist,215.5
Puma Sporty Handbag,handbag,sporty,181.49
Zara Runner,sneakers,vintage,187.18
Adidas Sporty Shirt,shirt,sporty,118.03
Levi's Casual Shirt,shirt,casual,38.39
Uniqlo Preppy Coat,coat,preppy,253.73
Puma Sporty Skirt,skirt,sporty,106.15
H&M Hiking Boots,boots,minimalist,163.2
H&M Grunge Shirt,shirt,grunge,94.69
Zara Sporty Jacket,jacket,sporty,167.43
Puma Elegant Shirt,shirt,elegant,87.82
Uniqlo Hiking Boots,boots,preppy,97.28
Levi's Grunge Dress,dress,grunge,88.07
Puma Chic Jeans,jeans,chic,62.67
Nike Formal Jeans,jeans,formal,42.97
Uniqlo Runner,sneakers,retro,147.88
New Balance Hiking Boots,boots,minimalist,121.31
Mango Derby Shoes,shoes,elegant,128.53
Gap Sporty Handbag,handbag,sporty,216.87
Puma Vintage Coat,coat,vintage,167.58
New Balance Grunge Jeans,jeans,grunge,71.48
Zara Runner,sneakers,streetwear,74.18
Mango Runner,sneakers,preppy,117.69
Nike Sporty Jacket,jacket,sporty,179.05
H&M Sporty Shirt,shirt,sporty,33.17
Puma Chic Coat,coat,chic,151.23
Zara Sporty Shirt,shirt,sporty,60.85
H&M Streetwear Shirt,shirt,streetwear,47.89
Mango Sporty Skirt,skirt,sporty,75.59
H&M Retro Shirt,shirt,retro,95.68
Uniqlo Derby Shoes,shoes,elegant,207.06
Zara Grunge Shirt,shirt,grunge,20.33
Adidas Streetwear Shirt,shirt,streetwear,85.31
Levi's Formal Shirt,shirt,formal,83.64
New Balance Streetwear Coat,coat,streetwear,182.71
Levi's Hiking Boots,boots,minimalist,169.77
Levi's Sporty Skirt,skirt,sporty,107.03
Zara Derby Shoes,shoes,minimalist,172.92
H&M Elegant Jeans,jeans,elegant,71.62
Nike Streetwear Handbag,handbag,streetwear,151.82
H&M Runner,sneakers,retro,218.2
Puma Elegant Jeans,jeans,elegant,65.61
Adidas Hiking Boots,boots,casual,182.76
Levi's Retro Skirt,skirt,retro,106.91
New Balance Hiking Boots,boots,retro,146.55
Nike Preppy Jacket,jacket,preppy,192.53
Nike Preppy Jeans,jeans,preppy,124.58
New Balance Derby Shoes,shoes,preppy,183.86
Adidas Grunge Dress,dress,grunge,176.43
Puma Elegant Coat,coat,elegant,145.96
Mango Formal Dress,dress,formal,183.2
H&M Chic Jacket,jacket,chic,112.8
Adidas Derby Shoes,shoes,retro,177.93
Uniqlo Grunge Jeans,jeans,grunge,121.15
Puma Grunge Jeans,jeans,grunge,73.33
Levi's Vintage Jacket,jacket,vintage,96.47
Nike Minimalist Jacket,jacket,minimalist,175.38
New Balance Retro Shirt,shirt,retro,81.85
Zara Vintage Jeans,jeans,vintage,54.48
Gap Sporty Dress,dress,sporty,126.77
Gap Casual Shirt,shirt,casual,86.87
Adidas Formal Jeans,jeans,formal,73.66
Adidas Minimalist Handbag,handbag,minimalist,162.17
Puma Hiking Boots,boots,sporty,221.66
Adidas Sporty Jeans,jeans,sporty,43.4
New Balance Sporty Skirt,skirt,sporty,107.9
Nike Derby Shoes,shoes,streetwear,138.9
H&M Retro Handbag,handbag,retro,73.79
Puma Sporty Jacket,jacket,sporty,104.4
H&M Elegant Coat,coat,elegant,174.06
Nike Formal Handbag,handbag,formal,92.08
Puma Derby Shoes,shoes,retro,66.71
Gap Retro Coat,coat,retro,95.01
H&M Sporty Coat,coat,sporty,186.09
Puma Derby Shoes,shoes,grunge,146.79
Puma Chic Shirt,shirt,chic,92.0
Gap Streetwear Handbag,handbag,streetwear,246.59
Puma Derby Shoes,shoes,casual,92.8
Zara Sporty Jeans,jeans,sporty,95.41
Uniqlo Grunge Jacket,jacket,grunge,198.76
H&M Grunge Jeans,jeans,grunge,119.73
New Balance Vintage Jacket,jacket,vintage,130.41
Zara Derby Shoes,shoes,casual,104.27
New Balance Derby Shoes,shoes,retro,77.73
Adidas Vintage Shirt,shirt,vintage,50.46
Gap Vintage Jeans,jeans,vintage,120.87
Zara Chic Handbag,handbag,chic,234.78
H&M Sporty Jacket,jacket,sporty,108.86
New Balance Derby Shoes,shoes,chic,166.41
Puma Streetwear Handbag,handbag,streetwear,209.77
Levi's Formal Jacket,jacket,formal,209.25
Gap Minimalist Jacket,jacket,minimalist,83.2
Mango Minimalist Jeans,jeans,minimalist,91.21
Levi's Runner,sneakers,preppy,178.47
Nike Casual Shirt,shirt,casual,116.87
Mango Retro Dress,dress,retro,178.07
Uniqlo Minimalist Jacket,jacket,minimalist,63.79
